Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VALOR CFI (conglomerado); ;17;6;7;14;36409;0;36409
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05192316;VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS; ;28;0;0;21;248126;1073;247070
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOLKSWAGEN (conglomerado);132,13;305;54;68;244;510839;288;510680
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;VOTORANTIM (conglomerado);30,73;2011;212;350;1255;11387063;9610510;3183305
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;WESTERN UNION (conglomerado); ;8;0;0;1;4;4;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;WISE BRASIL CC (conglomerado); ;51;20;26;40;0;0;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;XP (conglomerado);35,26;650;167;217;502;6153199;6146570;1148025
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;56;9;14;37;243177;274;242942
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ZEMA CFI (conglomerado); ;88;25;32;69;41502;41502;0
2025;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ZOOP TECNOLOGIA IP (conglomerado); ;95;15;21;68;527463;527463;0
